model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-llama2-latest,family1_qa,100,90,0.0,0.0,4384.121966170561,11018.141466774978,0.0,41.13333333333333,9.744067556343752e-06,2.923220266903126e-06,0.0,,,
ollama-llama3-latest,family1_qa,100,90,0.0,1.0,4472.645731870499,9205.024764069822,0.0,91.0,9.940707409066717e-06,2.9822122227200158e-06,0.0,2408306.6,2719286.7325928686,
ollama-mistral-latest,family1_qa,100,90,0.0,1.0,7626.589493996774,15282.088306336664,0.0,127.53333333333333,1.6949439851802357e-05,5.084831955540706e-06,0.0,2426188.7666666666,2722680.703808307,
ollama-codellama-latest,family1_qa,100,90,0.0,0.06666666666666667,7669.714681535132,15010.882500023581,0.0,166.9,1.7045431790134508e-05,5.113629537040352e-06,0.0,2220903.0,2243578.2930383775,
ollama-qwen2.5-7b-instruct,family1_qa,100,90,0.0,1.0,8003.539826902043,14934.336507960688,0.0,141.9,1.7787471854039813e-05,5.336241556211944e-06,0.0,2453499.2333333334,2734552.908074511,
ollama-mistral-7b-instruct,family1_qa,100,90,0.0,1.0,8955.86777458019,30167.650762246918,0.0,127.53333333333333,1.990378049388896e-05,5.971134148166688e-06,0.0,2426188.7666666666,2722680.703808307,
ollama-qwen-latest,family1_qa,100,90,0.0,0.0,11288.24598058903,15091.81108759949,0.0,500.0,2.5086827433181972e-05,7.52604822995459e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family1_qa,250,90,0.03333333333333333,0.9666666666666667,20795.787390339603,24912.59752138285,0.0,179.32222222222222,4.621706630804215e-05,1.3865119892412643e-05,0.0,4773388.25882353,5005968.792379637,
ollama-deepseek-coder-latest,family1_qa,250,90,0.0,0.0,4077.9109644082687,5483.388973120598,0.0,173.56666666666666,9.06336802367975e-06,2.719010407103925e-06,0.0,,,
ollama-qwen-latest,family1_qa,250,90,0.0,0.0,8356.896018524034,10105.00559747452,0.0,226.66666666666666,1.857243590069186e-05,5.571730770207557e-06,0.0,,,
